!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
telangana	te@@ lan@@ gana
telecommunications	tele@@ commun@@ ic@@ ations
telefilms	tele@@ fil@@ ms
telescope	tele@@ sco@@ pe
television	tele@@ vision
telineelapuram	tel@@ ine@@ e@@ la@@ puram
teller	t@@ ell@@ er
tellurium	t@@ ell@@ ur@@ ium
telnar	tel@@ nar
telugu	tel@@ u@@ gu
telukunchi	tel@@ u@@ kun@@ chi
tembrungharta	tem@@ br@@ un@@ gh@@ ar@@ ta
temperature	temp@@ er@@ ature
templar	temp@@ lar
template	template
templatedata	template@@ data
templatepar	templ@@ ate@@ par
templates	template ⧺s
temple	temple
temple,	temple,
temples	temple ⧺s
ten	te@@ n
tendulkar	t@@ end@@ ul@@ kar
tennessee	ten@@ nes@@ se@@ e
tennis	ten@@ ni@@ s
tenuiflorum	ten@@ u@@ i@@ fl@@ or@@ um
tera	ter@@ a
tera,	te@@ ra,
terbium	ter@@ bi@@ um
teresa	ter@@ es@@ a
terminalia	ter@@ min@@ alia
terminated	ter@@ min@@ ated
terminus	ter@@ min@@ us
termite	ter@@ m@@ ite
termites	ter@@ m@@ ite ⧺s
terpsiphone	ter@@ psi@@ ph@@ one
terrace	ter@@ ra@@ ce
terrestris	ter@@ re@@ s@@ tri@@ s
territories	territories
territory	territ@@ ory
terrorism	ter@@ r@@ or@@ ism
tervada	ter@@ vada
test	t@@ est
testament	te@@ stam@@ ent
testcases	te@@ st@@ cas@@ es
tetris	te@@ tri@@ s
texas	te@@ x@@ as
text	text
texts	text ⧺s
tezu	te@@ z@@ u
tfm/dated	t@@ f@@ m@@ /@@ dated
thaal	tha@@ al
thada	tha@@ da
thadiya,	tha@@ di@@ ya,
thai	tha@@ i
thailand	tha@@ il@@ and
thakar	tha@@ kar
thaker	tha@@ ker
thakor	tha@@ kor
thakore	tha@@ k@@ ore
thakur	tha@@ k@@ ur
thali	tha@@ li
thallium	tha@@ l@@ lium
thaltej	tha@@ l@@ te@@ j
thane	than@@ e
thangadh	th@@ ang@@ adh
thanghat	th@@ ang@@ hat
thanh	than@@ h
thanjavur	than@@ ja@@ v@@ ur
thapa	tha@@ pa
thapar	tha@@ par
thara,	th@@ ara,
tharad	th@@ ara@@ d
the	the
theatre	the@@ at@@ re
theft	the@@ ft
theni	th@@ en@@ i
theodore	the@@ od@@ ore
therapy	the@@ ra@@ p@@ y
thermal	thermal
thermometer	ther@@ mo@@ me@@ ter
thesis	th@@ es@@ is
thijs!bot	th@@ i@@ j@@ s@@ !@@ bot
thimphu	th@@ im@@ ph@@ u
thin	th@@ in
third	th@@ ir@@ d
thiruvananthapuram	th@@ ir@@ u@@ van@@ an@@ tha@@ puram
this	th@@ is
thiên	th@@ i@@ ê@@ n
thomas	tho@@ ma@@ s
thordi	th@@ or@@ di
thorium	th@@ ori@@ um
thotupola	th@@ ot@@ up@@ ola
thoubal	tho@@ u@@ bal
thrayodashi	th@@ ra@@ yo@@ da@@ shi
threshing	th@@ re@@ sh@@ ing
thrissur	th@@ ris@@ su@@ r
thrones	th@@ ron@@ es
thrush	th@@ rus@@ h
thulium	th@@ u@@ lium
thumb	th@@ um@@ b
thumba	th@@ um@@ ba
thunga	th@@ un@@ ga
thursday	th@@ ur@@ s@@ day
tibet	ti@@ bet
tick	tic@@ k
tickell's	tic@@ k@@ ell@@ 's
tickers/nyse	tic@@ k@@ ers@@ /@@ n@@ y@@ se
tiger	tiger
tikamgarh	t@@ ik@@ amgarh
tilak	ti@@ la@@ k
tilaka	ti@@ la@@ ka
tillakaratne	t@@ il@@ la@@ kar@@ at@@ ne
tilottama	t@@ il@@ ot@@ tam@@ a
tim	ti@@ m
timangarh	ti@@ man@@ garh
timba	ti@@ m@@ ba
timbo	ti@@ mb@@ o
timbuktu	ti@@ m@@ bu@@ k@@ tu
time	time
timekeeping	time@@ ke@@ ep@@ ing
timeline	time@@ line
timor	ti@@ mo@@ r
timor-leste	ti@@ mo@@ r@@ -@@ le@@ st@@ e
timwi	ti@@ m@@ wi
tin	t@@ in
tina	t@@ ina
tinau	tin@@ au
tipanya	ti@@ pan@@ ya
tippani	ti@@ p@@ pan@@ i
tipu	ti@@ p@@ u
tirap	ti@@ ra@@ p
tireless	ti@@ re@@ le@@ ss
tirhut	tir@@ hu@@ t
tirkey	tir@@ key
tirth	tir@@ th
tirtha	tir@@ tha
tirthankara	tir@@ than@@ kara
tirthankaras	tir@@ than@@ kara ⧺s
tirthas	tir@@ tha ⧺s
tirumala	tir@@ um@@ ala
tirunelveli	tir@@ un@@ el@@ v@@ eli
tiruvallur	tir@@ u@@ val@@ l@@ ur
tiruvannamalai	tir@@ u@@ van@@ nam@@ ala@@ i
tiruvarur	tir@@ u@@ var@@ ur
tissue	tis@@ su@@ e
tit	ti@@ t
titan	tit@@ an
titanium	tit@@ an@@ ium
tithal	tit@@ hal
tithi	tit@@ hi
titicaca	tit@@ ic@@ ac@@ a
title	title
tiwari	ti@@ wari
tl	t@@ l
tla	t@@ la
tlaxcala	t@@ la@@ x@@ c@@ ala
tlc	tl@@ c
tld	t@@ ld
tlf	tl@@ f
tlg	tl@@ g
tls	tl@@ s
tlu	tl@@ u
tlx	tl@@ x
tlxs	tl@@ x ⧺s
tly	t@@ ly
tmbox	t@@ m@@ box
tmbox/core	t@@ m@@ box/@@ core
tnull	t@@ n@@ ul@@ l
to	to
tobacco	to@@ ba@@ c@@ co
tobago	to@@ bag@@ o
toc	toc
todar	to@@ dar
today's	to@@ day@@ 's
togo	to@@ go
tomb	to@@ m@@ b
tomé	to@@ m@@ é
tongue	ton@@ gu@@ e
tonk	ton@@ k
tonk,	ton@@ k,
too	to@@ o
tool	to@@ ol
toolbar	to@@ ol@@ bar
tools	to@@ ol ⧺s
tooth	to@@ ot@@ h
top	top
topic	to@@ pi@@ c
topicon	to@@ p@@ icon
topics	to@@ pi@@ c ⧺s
topiwala	to@@ pi@@ wala
topology	to@@ po@@ logy
torah	to@@ rah
toranmal	tor@@ an@@ mal
torne	tor@@ ne
tortoise	tor@@ to@@ ise
torvalds	tor@@ val@@ ds
tosh,	to@@ sh@@ ,
toto	to@@ to
totopara	to@@ to@@ para
tottenham	to@@ tt@@ en@@ ham
tourism	tour@@ ism
tourist	tourist
tournament	tour@@ nam@@ ent
tower	tower
towers	tower ⧺s
town	to@@ wn
towns	to@@ wn ⧺s
toy	to@@ y
toys	to@@ y ⧺s
tpe	t@@ pe
tr	t@@ r
tr-n	t@@ r@@ -@@ n
track	track
tracking	tra@@ ck@@ ing
tracks	track ⧺s
trade	tr@@ ade
traffic	tra@@ f@@ fi@@ c
trafford	tra@@ f@@ for@@ d
traikutaka	tra@@ ik@@ ut@@ aka
trail	tra@@ il
train	tra@@ in
training	tra@@ in@@ ing
trajan	tra@@ jan
trans	tran@@ s
transclude	tran@@ sc@@ l@@ ude
transfer	trans@@ f@@ er
transit	tran@@ si@@ t
transl	trans@@ l
translate	trans@@ l@@ ate
translated	trans@@ lat@@ ed
translation	trans@@ lation
transliteration	trans@@ liter@@ ation
transmission	tran@@ s@@ mission
transmitted	trans@@ mit@@ ted
transpiration	trans@@ pir@@ ation
transport	transport
transwiki	trans@@ wik@@ i
trapezoid	tra@@ pe@@ zo@@ id
travancore	tra@@ van@@ core
treatment	tre@@ at@@ ment
treaty	tre@@ at@@ y
tree	tree
tree/end	tre@@ e/@@ end
tree/start	tre@@ e/@@ start
tree/step2	tre@@ e/@@ step@@ 2
treechart	tree@@ char@@ t
treechart/data	tre@@ e@@ chart/@@ data
treepie	tre@@ e@@ pi@@ e
trees	tree ⧺s
trek	tre@@ k
trends	tr@@ end@@ s
treta	tre@@ ta
triangle	tri@@ ang@@ le
tribal	tri@@ bal
tribhuvandas	tri@@ bhu@@ van@@ das
tribulus	tri@@ bul@@ us
trichosanthes	tric@@ ho@@ san@@ th@@ es
trident	tri@@ d@@ ent
trigarta	tri@@ gar@@ ta
trigonometry	tri@@ gon@@ o@@ me@@ try
trijata	tri@@ j@@ ata
trim	tri@@ m
trimbakeshwar	tr@@ im@@ ba@@ ke@@ shwar
trinamool	tr@@ in@@ am@@ o@@ ol
trincomalee	tr@@ in@@ com@@ ale@@ e
trinidad	tr@@ in@@ i@@ da@@ d
tripathi	tri@@ pat@@ hi
tripiṭaka	tri@@ pi@@ ṭ@@ aka
tripura	tri@@ pura
trishula	tr@@ ish@@ ula
tritiya	tr@@ it@@ iya
trivedi	trivedi
triveni	tr@@ iv@@ en@@ i
triyuginarayan	tri@@ yu@@ g@@ in@@ ara@@ yan
tropical	trop@@ ical
trudeau	tr@@ u@@ de@@ au
true	tr@@ ue
trump	tr@@ um@@ p
trunc	tr@@ un@@ c
trust	tr@@ us@@ t
truth	tr@@ uth
tsarap	t@@ sara@@ p
tso	t@@ s@@ o
tsomgo	t@@ som@@ go
tsunami	t@@ sun@@ ami
tuberculosis	tu@@ ber@@ cu@@ lo@@ sis
tuensang	tu@@ en@@ san@@ g
tuesday	tu@@ es@@ day
tufted	tu@@ f@@ ted
tughlaq	tu@@ gh@@ la@@ q
tukaram	tu@@ k@@ aram
tulip	tu@@ lip
tulsi	t@@ ul@@ si
tulsidas	t@@ ul@@ si@@ das
tulsishyam	t@@ ul@@ si@@ sh@@ yam
tumakuru	tu@@ ma@@ kur@@ u
tumbbad	t@@ umb@@ bad
tumkur	t@@ um@@ k@@ ur
tuna	t@@ una
tundav	tun@@ da@@ v
tungnath	tun@@ g@@ nath
tungsten	tun@@ g@@ st@@ en
tunisia	tun@@ is@@ ia
tunnel	tun@@ nel
turban	tur@@ ban
turbine	tur@@ b@@ ine
turbocharger	tur@@ bo@@ char@@ ger
turf	tur@@ f
turhan	tur@@ han
turing	tur@@ ing
turkey	tur@@ key
turkish	tur@@ k@@ ish
turkmen	tur@@ k@@ me@@ n
turkmenistan	tur@@ k@@ men@@ istan
turmeric	tur@@ mer@@ ic
turnip	tur@@ ni@@ p
turnstone	tur@@ n@@ st@@ one
turquoise	tur@@ qu@@ o@@ ise
turtle	turtle
turtles	turtle ⧺s
tussauds	t@@ us@@ sa@@ ud@@ s
tutorial/tabsheader	t@@ ut@@ ori@@ al@@ /@@ tab@@ she@@ ad@@ er
tutorial/tabstop	t@@ ut@@ ori@@ al@@ /@@ tab@@ sto@@ p
tux	tu@@ x
tv9	t@@ v@@ 9
twain	t@@ wa@@ in
twenty20	t@@ w@@ ent@@ y@@ 20
twitter	t@@ wit@@ ter
twl	t@@ wl
txiki	t@@ x@@ ik@@ i
txikibot	t@@ x@@ ik@@ i@@ bot
tyabji	t@@ ya@@ b@@ ji
tyagaraja	ty@@ ag@@ ara@@ ja
type	type
types	type ⧺s
typha	ty@@ ph@@ a
typhoid	ty@@ ph@@ o@@ id
tyrol	ty@@ ro@@ l
u.	u@@ .
u...mr.	u@@ .@@ .@@ .@@ m@@ r.
u.s.	u@@ .@@ s.
ubbalamadugu	u@@ bb@@ ala@@ ma@@ du@@ gu
ubuntu	u@@ bun@@ tu
ucat	u@@ cat
ucharpi	u@@ char@@ pi
udaipur	udaipur
udalguri	ud@@ al@@ g@@ uri
uday	u@@ day
udaypur	uda@@ y@@ pur
udayshankar	u@@ day@@ shankar
udhai	ud@@ ha@@ i
udham	ud@@ ham
udhampur	ud@@ ham@@ pur
udhana–navsari	u@@ dhan@@ a@@ –@@ navsari
udhas	ud@@ ha@@ s
udhna	u@@ dh@@ na
udupi	ud@@ up@@ i
udvada	ud@@ vada
uefa	u@@ ef@@ a
uetersen	u@@ e@@ ter@@ sen
uf-coord	uf@@ -@@ coord
uf-coord-classes	uf@@ -@@ coord@@ -@@ cla@@ s@@ se@@ s
uf-date-part	uf@@ -@@ date@@ -@@ par@@ t
uf-date-warn	uf@@ -@@ date@@ -@@ war@@ n
uf-geo	uf@@ -@@ ge@@ o
uf-hcard-geo	uf@@ -@@ h@@ card@@ -@@ ge@@ o
uf-hcard-org	uf@@ -@@ h@@ card@@ -@@ or@@ g
uf-hcard-person	uf@@ -@@ h@@ card@@ -@@ person
uf-hprod	uf@@ -@@ h@@ pro@@ d
uganda	ug@@ anda
ugla	ug@@ la
ujjain	u@@ j@@ jain
uk	u@@ k
uka	uka
ukai	u@@ ka@@ i
ukhrul	u@@ kh@@ ru@@ l
ukraine	uk@@ ra@@ ine
ukrainian	uk@@ ra@@ in@@ ian
ulcer	ul@@ c@@ er
ulhas	ul@@ ha@@ s
uloom	u@@ lo@@ om
ulster	ul@@ ster
ultrasound	ul@@ tr@@ as@@ o@@ und
ulupi	ul@@ up@@ i
umaid	u@@ ma@@ id
umaria	um@@ aria
umarpada	um@@ ar@@ p@@ ada
umashankar	u@@ ma@@ shankar
umaswati	u@@ ma@@ sw@@ ati
umbergaon	um@@ ber@@ gaon
umbharat	um@@ bharat
umbox	um@@ box
umerkot	um@@ er@@ kot
umiam	um@@ i@@ am
umreth	um@@ re@@ th
un	un
un,	un@@ ,
una	una
una,	un@@ a,
unai,	una@@ i,
unapdev	un@@ ap@@ dev
unava	una@@ va
unbulleted	un@@ bul@@ le@@ ted
uncategorized	un@@ categ@@ ori@@ z@@ ed
unchalli	un@@ cha@@ l@@ li
und	und
undari	un@@ dar@@ i
under	un@@ der
undertaker	un@@ der@@ ta@@ ker
undertakings	un@@ der@@ ta@@ king@@ s
undhiyu	un@@ dh@@ iy@@ u
unesco	un@@ es@@ co
unicode	unicode
unidentified	un@@ id@@ enti@@ fi@@ ed
uniflorum	un@@ i@@ fl@@ or@@ um
uniform	un@@ i@@ for@@ m
unilever	un@@ il@@ e@@ ver
union	union
unit	un@@ it
unit/area	unit@@ /@@ area
unit/discharge	unit@@ /@@ dis@@ char@@ ge
united	united
units	un@@ it ⧺s
unity	un@@ ity
universe	univers@@ e
universities	universities
university	university
università	univers@@ it@@ à
unjha	un@@ j@@ ha
unknown	un@@ k@@ no@@ wn
unnamed	un@@ nam@@ ed
unnao	un@@ na@@ o
unnikrishnan	un@@ n@@ ik@@ rish@@ n@@ an
unofficial2	un@@ off@@ ici@@ al@@ 2
unported	un@@ por@@ ted
unreferenced	un@@ refer@@ en@@ c@@ ed
unreleased	un@@ re@@ le@@ as@@ ed
unreliable	un@@ reli@@ able
unstrip	un@@ s@@ tri@@ p
unsubst	un@@ sub@@ st
upadhyay	up@@ adh@@ ya@@ y
upadhyaya	up@@ adh@@ ya@@ ya
upanayana	u@@ pan@@ a@@ yana
upanishad	u@@ pan@@ isha@@ d
upanishads	u@@ pan@@ isha@@ d ⧺s
upapurana	u@@ pa@@ purana
uparkot	u@@ par@@ kot
upasni	up@@ as@@ ni
upendra	up@@ endra
upleta	up@@ le@@ ta
upma	up@@ ma
upper	up@@ per
upton	up@@ ton
ur	ur
uran	ura@@ n
uranium	ur@@ an@@ ium
uranus	ur@@ an@@ us
urban	urban
urbanization	ur@@ ban@@ ization
urdu	ur@@ du
urdu-language	ur@@ du@@ -@@ language
urea	ur@@ ea
urjit	ur@@ jit
url	url
urmila	ur@@ mil@@ a
uropeltis	ur@@ op@@ el@@ ti@@ s
uruguay	ur@@ u@@ gu@@ a@@ y
us	us
us$	us@@ $
usain	us@@ ain
usb	us@@ b
usbk	us@@ b@@ k
usbktop	us@@ b@@ k@@ top
use	use
used	us@@ ed
user	user
userbox	userbox
userbox-level	userbox@@ -@@ le@@ vel
userbox-r	userbox@@ -@@ r
userboxbottom	userbox@@ bot@@ to@@ m
userboxes	user@@ box@@ es
usercheck-short	user@@ che@@ ck@@ -@@ shor@@ t
userlinks/config	user@@ link@@ s/@@ config
userlinks/shared	user@@ link@@ s/@@ shar@@ ed
username	user@@ name
uses	use ⧺s
usha	u@@ sha
ushnas	u@@ sh@@ na@@ s
using	using
usmanpura	us@@ man@@ pura
usually	us@@ u@@ ally
usui	us@@ u@@ i
utah	ut@@ a@@ h
utavali	ut@@ a@@ vali
utkanteshwar	ut@@ kan@@ te@@ shwar
utpal	ut@@ pal
utran	u@@ tr@@ an
utrecht	u@@ tre@@ ch@@ t
utsava	ut@@ sa@@ va
uttam	ut@@ ta@@ m
uttambhai	ut@@ ta@@ m@@ bhai
uttanasana	utt@@ an@@ asana
uttar	uttar
uttara	utt@@ ara
uttarakhand	uttarakhand
uttarayana	uttara@@ yana
uttarkashi	uttar@@ ka@@ shi
uttarā	utt@@ ar@@ ā
uusijani	u@@ us@@ i@@ jan@@ i
uw-vandalism1	u@@ w@@ -@@ vand@@ al@@ is@@ m@@ 1
uyuni	u@@ y@@ un@@ i
uzbek	u@@ z@@ be@@ k
uzbekistan	u@@ z@@ be@@ k@@ istan
uzi	u@@ z@@ i
v	v
v.	v.
vaccination	va@@ c@@ cin@@ ation
vachaknavi	va@@ chak@@ na@@ vi
vachanamrut	va@@ chan@@ am@@ ru@@ t
vachara	va@@ ch@@ ara
vachhavad	va@@ chha@@ vad
vacuum	va@@ cu@@ um
vada	vada
vadala	vad@@ ala
vadali,	vad@@ ali@@ ,
vadeli	va@@ de@@ li
vadgam	vad@@ gam
vadhiyar	vad@@ hi@@ y@@ ar
vadia,	va@@ di@@ a,
vadilal	va@@ di@@ lal
vadli	vad@@ li
vadnagar	vad@@ nagar
vadodara	vadodara
vadodaria	vadod@@ aria
vadsar,	vad@@ sar@@ ,
vadtal	vad@@ tal
vadviyala	vad@@ vi@@ y@@ ala
vaghel	vag@@ h@@ el
vaghela	vag@@ h@@ ela
vago	vag@@ o
vaidya	vaidya
vaidyanath	vaidya@@ nath
vaisakha	va@@ is@@ a@@ kha
vaishali	va@@ isha@@ li
vaishnava	vaish@@ na@@ va
vaishnavism	vaish@@ nav@@ ism
vaishno	vaish@@ no
vaishya	vaish@@ ya
vaitarna	va@@ it@@ ar@@ na
vaivarta	va@@ iv@@ ar@@ ta
vajpayee	va@@ j@@ pa@@ ye@@ e
vakani	va@@ kan@@ i
vakataka	va@@ kat@@ aka
vakhtapur	va@@ kh@@ ta@@ pur
val	v@@ al
val/delimitnum	val@@ /@@ de@@ li@@ mit@@ n@@ um
vala	vala
vale	val@@ e
valencian	val@@ en@@ ci@@ an
valentine's	val@@ ent@@ ine@@ 's
vali	vali
validation	val@@ i@@ dat@@ ion
vallabh	valla@@ bh
vallabha	valla@@ bha
vallabhbhai	vallabh@@ bhai
vallabhi	vallabh@@ i
vallabhipur	vallabh@@ ipur
vallabhsuri	vallabh@@ sur@@ i
valley	valley
vallés	val@@ l@@ é@@ s
valmiki	val@@ m@@ ik@@ i
valod	val@@ od
valparaíso	val@@ para@@ í@@ s@@ o
valsad	valsad
valson	val@@ son
value	val@@ ue
values	val@@ ue ⧺s
values/core	val@@ u@@ es@@ /core
vamaj	va@@ ma@@ j
vamana	v@@ am@@ ana
van	van
vanadium	van@@ adi@@ um
vanaraja	van@@ ara@@ ja
vanda,	van@@ da,
vande	vand@@ e
vandhay	vand@@ ha@@ y
vanessa	van@@ es@@ sa
vansda	van@@ s@@ da
vantawng	van@@ ta@@ wn@@ g
vanthali	van@@ tha@@ li
vapi	va@@ pi
vaporpressure	va@@ por@@ pre@@ ss@@ ure
var	var
varachha	v@@ ara@@ ch@@ ha
varadarajan	var@@ ad@@ ara@@ jan
varahi,	v@@ ara@@ hi@@ ,
varanasi	varanasi
varandha	varan@@ dha
vardayini	var@@ day@@ ini
vargenau	var@@ gen@@ au
variable	v@@ ari@@ able
variance	v@@ ari@@ ance
variants	v@@ ari@@ an@@ ts
variegata	v@@ ari@@ eg@@ ata
varies	v@@ aries
varma	var@@ ma
varnu	var@@ nu
varsha	var@@ sha
varsoda	var@@ so@@ da
vartej	var@@ te@@ j
varun	var@@ un
varuna	var@@ una
varāhamihira	var@@ ā@@ ha@@ mi@@ h@@ ira
vasant	vas@@ ant
vasava	vas@@ a@@ va
vasavad	vas@@ a@@ vad
vasavada	vas@@ a@@ vada
vasco	vas@@ co
vashi	va@@ shi
vashishti	va@@ sh@@ ish@@ ti
vasishtha	vas@@ ish@@ tha
vasistha	vas@@ is@@ tha
vaso	vas@@ o
vastrapur	vas@@ tra@@ pur
vastupala	va@@ st@@ up@@ ala
vasu	vas@@ u
vasudev	vas@@ u@@ dev
vasudeva	vas@@ u@@ de@@ va
vataman	v@@ ata@@ man
vatav	v@@ ata@@ v
vatsyayan	vat@@ s@@ ya@@ yan
vav	vav
vav,	va@@ v@@ ,
vayeda	va@@ ye@@ da
vcite	v@@ cite
vedanga	ve@@ d@@ anga
vedanta	ve@@ dan@@ ta
vedas	ve@@ das
vedic	ve@@ di@@ c
veena	ve@@ ena
veer	ve@@ er
vegad	ve@@ ga@@ d
vegas	ve@@ gas
vegda	ve@@ g@@ da
vegdi	ve@@ g@@ di
vegetable	ve@@ ge@@ table
vegetables	ve@@ ge@@ table ⧺s
vegetarianism	ve@@ ge@@ t@@ ari@@ an@@ ism
vehicle	ve@@ h@@ ic@@ le
vejalka	ve@@ jal@@ ka
vejalpur	ve@@ jal@@ pur
vekur	ve@@ k@@ ur
velakot	ve@@ la@@ kot
velavadar	ve@@ la@@ vadar
vellore	v@@ ell@@ ore
velvet	v@@ el@@ ve@@ t
velvet-fronted	v@@ el@@ ve@@ t@@ -@@ fron@@ ted
vendetta	ven@@ de@@ t@@ ta
venezuela	ven@@ e@@ zu@@ ela
vengsarkar	v@@ eng@@ sar@@ kar
venibhai	ven@@ i@@ bhai
venkaiah	ven@@ ka@@ i@@ a@@ h
venkatapathy	ven@@ kat@@ a@@ pat@@ h@@ y
venkataraghavan	ven@@ kat@@ ar@@ ag@@ hav@@ an
venkateswara	ven@@ kat@@ es@@ wara
venna	ven@@ na
venu	ven@@ u
venus	ven@@ u ⧺s
vera	ver@@ a
veracruz	ve@@ ra@@ c@@ ru@@ z
veraval	ve@@ raval
verde	ver@@ de
verditer	ver@@ di@@ ter
verghese	ver@@ gh@@ ese
verifiability	ver@@ i@@ fi@@ ab@@ il@@ ity
verification	ver@@ i@@ fic@@ ation
verisign	ver@@ is@@ ign
verizon	ver@@ i@@ z@@ on
verma	ver@@ ma
vermont	ver@@ mon@@ t
version	ver@@ sion
versions	ver@@ sion ⧺s
verum	ver@@ um
vestabhai	ve@@ st@@ a@@ bhai
vibha	vi@@ bha
vibhushan	vi@@ bhus@@ han
vice-presidential	v@@ ice@@ -@@ presid@@ enti@@ al
vice-presidents	v@@ ice@@ -@@ presid@@ ent ⧺s
vichitravirya	v@@ ic@@ hi@@ tra@@ vir@@ ya
vicky	v@@ ic@@ k@@ y
victor	v@@ ic@@ tor
vidarbha	vi@@ dar@@ bha
video	vi@@ de@@ o
videocassette	vi@@ de@@ oc@@ as@@ sett@@ e
vidhan	vid@@ han
vidi	vi@@ di
vidisha	vi@@ disha
vidur	vid@@ ur
vidura	vi@@ dur@@ a
vidya	vidya
vidyagauri	vidya@@ ga@@ uri
vidyalaya	vi@@ dy@@ ala@@ ya
vidyamandir	vidya@@ mandir
vidyanagar	vidya@@ nagar
vidyapeetha	vid@@ ya@@ pe@@ eth@@ a
vidyapith	vid@@ ya@@ pit@@ h
vienna	vi@@ en@@ na
vietnam	vietnam
view	vi@@ e@@ w
vigna	vig@@ na
vijalpor	vi@@ jal@@ po@@ r
vijapur	vija@@ pur
vijay	vijay
vijaya	vija@@ ya
vijayadashami	vija@@ ya@@ das@@ ham@@ i
vijayalaya	vija@@ y@@ ala@@ ya
vijayanagara	vija@@ yan@@ ag@@ ara
vijayawada	vija@@ ya@@ wada
vijaygupta	vijay@@ gupta
vijayray	vija@@ y@@ ra@@ y
vijender	vi@@ j@@ end@@ er
vikasa	vik@@ as@@ a
vikash	vik@@ as@@ h
viking	vik@@ ing
vikram	vikram
vikramaditya	vik@@ rama@@ di@@ t@@ ya
vikramōrvaśīyam	vik@@ ram@@ ō@@ r@@ va@@ ś@@ ī@@ yam
vilas	vi@@ las
vilayat	vi@@ la@@ yat
vile	vil@@ e
villa	vil@@ la
village	village
village,	villa@@ ge@@ ,
villages	village ⧺s
viluppuram	vil@@ up@@ puram
vimala	vi@@ m@@ ala
vinaya	vin@@ a@@ ya
vinayak	vin@@ a@@ yak
vincent	vin@@ c@@ ent
vinci	vin@@ c@@ i
vindhya	vin@@ dh@@ ya
vinjan	vin@@ jan
vinoba	vin@@ o@@ ba
vinod	vin@@ od
vinodini	vin@@ od@@ ini
vinoo	vin@@ o@@ o
vipassanā	vi@@ pas@@ san@@ ā
vir	vir
vira,	vi@@ ra,
viradha	vi@@ ra@@ dha
viramgam	vi@@ ram@@ gam
virani	vir@@ ani
virata	vir@@ ata
viraval,	vi@@ ra@@ val@@ ,
virender	vir@@ end@@ er
virgin	vir@@ gin
virginia	vir@@ g@@ in@@ ia
virgo	vir@@ go
virpur	vir@@ pur
virtual	vir@@ tu@@ al
virtualization	vir@@ tu@@ ali@@ zation
virudhunagar	vir@@ u@@ dh@@ un@@ agar
virus	vir@@ us
visa	vis@@ a
visakhapatnam	vis@@ a@@ kha@@ pat@@ nam
visalpur	vis@@ al@@ pur
visavadar	vis@@ a@@ vadar
viscosity	vis@@ co@@ s@@ ity
vishal–shekhar	vis@@ hal@@ –@@ she@@ kha@@ r
vishansar	vish@@ an@@ sar
vishisht	vish@@ ish@@ t
vishnu	vishnu
vishnuavatars	vish@@ nu@@ av@@ at@@ ar@@ s
vishnukundina	vish@@ nu@@ kun@@ d@@ ina
vishnuprasad	vishnu@@ prasad
vishnuprayag	vishnu@@ prayag
vishvakarman	vish@@ va@@ kar@@ man
vishvamitra	vish@@ v@@ am@@ i@@ tra
vishvesh	vish@@ v@@ esh
vishwa	vishwa
vishwakarma	vishwa@@ kar@@ ma
vishwakosh	vish@@ wa@@ ko@@ sh
vishwamitri	vish@@ w@@ am@@ i@@ tri
vishwanath	vishwa@@ nath
vishwavidyalaya	vishwa@@ vi@@ dy@@ ala@@ ya
visnagar	vis@@ nagar
visual	vis@@ u@@ al
viswanath	vis@@ wan@@ ath
vital	v@@ ital
vitamin	v@@ it@@ am@@ in
vithalbhai	v@@ it@@ hal@@ bhai
vivek	v@@ ive@@ k
vivekachudamani	v@@ ive@@ kach@@ ud@@ am@@ ani
vivekananda	v@@ ive@@ kan@@ anda
vizcaya	vi@@ z@@ ca@@ ya
vizianagaram	vi@@ zi@@ an@@ ag@@ aram
vladimir	v@@ la@@ di@@ mir
vodka	v@@ od@@ ka
void	v@@ o@@ id
volcano	vol@@ can@@ o
volga	vol@@ ga
volkovbot	vol@@ ko@@ v@@ bot
volvo	vol@@ v@@ o
vondh	v@@ on@@ dh
vorarlberg	v@@ or@@ ar@@ l@@ ber@@ g
voters'	v@@ ot@@ ers@@ '
voting	v@@ ot@@ ing
vrata	v@@ r@@ ata
vrindavan	v@@ rin@@ da@@ van
vu	v@@ u
vuitton	v@@ u@@ it@@ ton
vulture	v@@ ulture
vyara	v@@ y@@ ara
vyarawalla	v@@ y@@ ara@@ wal@@ la
vyas	vyas
vyasa	v@@ yas@@ a
vyom25	v@@ y@@ om@@ 25
vz.	v@@ z@@ .
w.	w@@ .
wadagam	w@@ ad@@ ag@@ am
wadhwan	w@@ adh@@ wan
wadia	wa@@ dia
wadkar	w@@ ad@@ kar
waghai	w@@ ag@@ ha@@ i
wagher	w@@ ag@@ h@@ er
waghodia	w@@ ag@@ ho@@ dia
waghura	w@@ ag@@ h@@ ura
wai,	wa@@ i,
waimakariri	wa@@ ima@@ kar@@ iri
wajihuddin	wa@@ ji@@ h@@ uddin
wales	wal@@ es
walkeshwar	wal@@ ke@@ shwar
wall	w@@ all
walloon	wal@@ lo@@ on
walsh	wal@@ sh
walter	wal@@ ter
wam	wa@@ m
wanakbori	wan@@ ak@@ bor@@ i
wanderers	w@@ and@@ er@@ ers
