!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
લક્ષ્મીબાઈ	લક્ષ્મીબાઈ	_લક્ષ્મીબાઈ
લક્ષ્મેશ્વર	લક્ષ્મેશ્વર	_લક્ષ્મેશ્વર
લક્સ	લક્સ	_લક્સ
લખતર	લખતર	_લખતર
લખનદેઈ	લખનદેઈ	_લખનદેઈ
લખનૌ	લખનૌ	_લખનૌ
લખપત	લખપત	_લખપત
લખાતી	લખાતી	_લખાતી
લખિમપુર	લખિમપુર	_લખિમપુર
લખીસરાય	લખીસરાય	_લખીસરાય
લખેલી	લખેલી	_લખેલી
લગ	લગ	_લગ
લગતી	લગતી	_લગતી
લગ્ન	લગ્ન	_લગ્ન
લઘુ	લઘુ	_લઘુ
લચિત	લચિત	_લચિત
લચ્છીવાલા	લચ્છીવાલા	_લચ્છીવાલા
લજામણી	લજામણી	_લજામણી
લટોરો	લટોરો	_લટોરો
લડાઈ	લડાઈ	_લડાઈ
લડાખ	લડાખ	_લડાખ
લડાખી	લડાખ +(ી)	_લડાખ +ી
લડી	લડી	_લડી
લતા	લતા	_લતા
લતીફ	લતીફ	_લતીફ
લદ્દાખ	લદ્દાખ	_લદ્દાખ
લમ્ફેલ્પેટ	લમ્ફેલ્પેટ	_લમ્ફેલ્પેટ
લય	લય	_લય
લલિતપુર	લલિતપુર	_લલિતપુર
લલેડુ	લલેડુ	_લલેડુ
લવ	લવ	_લવ
લવકુમાર	લવકુમાર	_લવકુમાર
લવજી	લવજી	_લવજી
લવિંગ	લવિંગ	_લવિંગ
લસણ	લસણ	_લસણ
લસણની	લસણની	_લસણની
લસિકા	લસિકા	_લસિકા
લા	લા	_લા
લાંધણજ	લાંધણજ	_લાંધણજ
લાંભા	લાંભા	_લાંભા
લાઇટ્	લાઇટ્	_લાઇટ્
લાઇફ	લાઇફ	_લાઇફ
લાઇબેરીયાનો	લાઇબેરીયાનો	_લાઇબેરીયાનો
લાઇસન્સ	લાઇસન્સ	_લાઇસન્સ
લાઈટ	લાઈટ	_લાઈટ
લાઈન	લાઈન	_લાઈન
લાઓત્સે	લાઓત્સે	_લાઓત્સે
લાઓસ	લાઓસ	_લાઓસ
લાઓસનો	લાઓસનો	_લાઓસનો
લાકડીયા	લાકડીયા	_લાકડીયા
લાક્ષાગૃહ	લાક્ષાગૃહ	_લાક્ષાગૃહ
લાખ	લાખ	_લાખ
લાખથી	લાખથી	_લાખથી
લાખાપાદર	લાખાપાદર	_લાખાપાદર
લાખામંડલ	લાખામંડલ	_લાખામંડલ
લાગોસ	લાગોસ	_લાગોસ
લાગ્યો	લાગ્યો	_લાગ્યો
લાજપતરાય	લાજપતરાય	_લાજપતરાય
લાટવિયા	લાટવિયા	_લાટવિયા
લાટવિયાનો	લાટવિયાનો	_લાટવિયાનો
લાઠી	લાઠી	_લાઠી
લાડુ	લાડુ	_લાડુ
લાડોલ	લાડોલ	_લાડોલ
લાતૂર	લાતૂર	_લાતૂર
લાતેહાર	લાતેહાર	_લાતેહાર
લાથ	લાથ	_લાથ
લાપસી	લાપસી	_લાપસી
લાપાસરી	લાપાસરી	_લાપાસરી
લાભશંકર	લાભશંકર	_લાભશંકર
લામજુંગ	લામજુંગ	_લામજુંગ
લામ્બોરગીની	લામ્બોરગીની	_લામ્બોરગીની
લાયબલ	લાયબલ	_લાયબલ
લાયબ્રેરી	લાયબ્રેરી	_લાયબ્રેરી
લાયબ્રેરી,	લાયબ્રેરી,	_લાયબ્રેરી,
લાયલ	લાયલ	_લાયલ
લારા	લારા	_લારા
લાલ	લાલ	_લાલ
લાલકૃષ્ણ	લાલકૃષ્ણ	_લાલકૃષ્ણ
લાલગઢ	લાલગઢ	_લાલગઢ
લાલજી	લાલજી	_લાલજી
લાલભાઇ	લાલભાઇ	_લાલભાઇ
લાલભાઈ	લાલભાઈ	_લાલભાઈ
લાલા	લાલા	_લાલા
લાલી	લાલ +(ી)	_લાલ +ી
લાવણી	લાવણી	_લાવણી
લાસ	લાસ	_લાસ
લાહોર	લાહોર	_લાહોર
લાહૌલ	લાહૌલ	_લાહૌલ
લિંગ	લિંગ	_લિંગ
લિંગરાજ	લિંગરાજ	_લિંગરાજ
લિઓન	લિઓન	_લિઓન
લિઓનાર્ડો	લિઓનાર્ડો	_લિઓનાર્ડો
લિક્વિડ	લિક્વિડ	_લિક્વિડ
લિગ્નાઇટ	લિગ્નાઇટ	_લિગ્નાઇટ
લિટન	લિટન	_લિટન
લિટમસ	લિટમસ	_લિટમસ
લિથિયમ	લિથિયમ	_લિથિયમ
લિથુઆનિયા	લિથુઆનિયા	_લિથુઆનિયા
લિથુઆનિયાનો	લિથુઆનિયાનો	_લિથુઆનિયાનો
લિનક્સ	લિનક્સ	_લિનક્સ
લિનસ	લિનસ	_લિનસ
લિપ	લિપ	_લિપ
લિપિ	લિપિ	_લિપિ
લિપિમાં	લિપિમાં	_લિપિમાં
લિપીડ	લિપીડ	_લિપીડ
લિપુલેખ	લિપુલેખ	_લિપુલેખ
લિબર્ટી	લિબર્ટી	_લિબર્ટી
લિબિયા	લિબિયા	_લિબિયા
લિબિયાનો	લિબિયાનો	_લિબિયાનો
લિમિટેડ	લિમિટેડ	_લિમિટેડ
લિમ્બો	લિમ્બો	_લિમ્બો
લિવરપૂલ	લિવરપૂલ	_લિવરપૂલ
લી	લી	_લી
લીંબડી	લીંબડી	_લીંબડી
લીંબુ	લીંબુ	_લીંબુ
લીંબુડા	લીંબુડા	_લીંબુડા
લીંબુનું	લીંબુનું	_લીંબુનું
લીંભોઈ	લીંભોઈ	_લીંભોઈ
લીગ	લીગ	_લીગ
લીચી	લીચી	_લીચી
લીચેસ્ટેઈન	લીચેસ્ટેઈન	_લીચેસ્ટેઈન
લીચેસ્ટેઈનનો	લીચેસ્ટેઈન +(ો)	_લીચેસ્ટેઈન $+ન +ો
લીડ્ઝ	લીડ્ઝ	_લીડ્ઝ
લીના	લીના	_લીના
લીમખેડા	લીમખેડા	_લીમખેડા
લીમડો	લીમડો	_લીમડો
લીલ	લીલ	_લીલ
લીલા	લીલા	_લીલા
લીલાપુર	લીલાપુર	_લીલાપુર
લીલી	લીલ +(ી)	_લીલ +ી
લીલો	લીલ +(ો)	_લીલ +ો
લુણાવાડા	લુણાવાડા	_લુણાવાડા
લુણી	લુણી	_લુણી
લુણેજ	લુણેજ	_લુણેજ
લુધિયાણા	લુધિયાણા	_લુધિયાણા
લુન્ગલેઇ	લુન્ગલેઇ	_લુન્ગલેઇ
લુમ્બિની	લુમ્બિની	_લુમ્બિની
લુસિઅન	લુસિઅન	_લુસિઅન
લૂઇસ	લૂઇસ	_લૂઇસ
લૂઈ	લૂઈ	_લૂઈ
લૂઈસ	લૂઈસ	_લૂઈસ
લૅરી	લૅરી	_લૅરી
લેંગકાવી	લેંગકાવી	_લેંગકાવી
લેંગપુઈ	લેંગપુઈ	_લેંગપુઈ
લેઉવા	લેઉવા	_લેઉવા
લેક	લેક	_લેક
લેખ	લેખ	_લેખ
લેખક	લેખક	_લેખક
લેખન	લેખન	_લેખન
લેખો	લેખ +(ો)	_લેખ +ો
લેખોની	લેખોની	_લેખોની
લેગો	લેગો	_લેગો
લેજર	લેજર	_લેજર
લેડી	લેડ* +(ી)	_લેડ +ી
લેડો	લેડ* +(ો)	_લેડ +ો
લેધરબેક	લેધરબેક	_લેધરબેક
લેન	લેન	_લેન
લેનિન	લેનિન	_લેનિન
લેન્ડ	લેન્ડ	_લેન્ડ
લેન્ડસ્ટેઇનર	લેન્ડસ્ટેઇનર	_લેન્ડસ્ટેઇનર
લેન્થેનમ	લેન્થેનમ	_લેન્થેનમ
લેન્સડાઉન	લેન્સડાઉન	_લેન્સડાઉન
લેપ્ટોસ્પાઇરોસિસ	લેપ્ટોસ્પાઇરોસિસ	_લેપ્ટોસ્પાઇરોસિસ
લેબેનાન	લેબેનાન	_લેબેનાન
લેબેનાનનો	લેબેનાન +(ો)	_લેબેનાન $+ન +ો
લેબોરેટરીઝ	લેબોરેટરીઝ	_લેબોરેટરીઝ
લેબ્રાડોર	લેબ્રાડોર	_લેબ્રાડોર
લેમ્પાર્ડ	લેમ્પાર્ડ	_લેમ્પાર્ડ
લેરી	લેરી	_લેરી
લેલેટી	લેલેટી	_લેલેટી
લેસર	લેસર	_લેસર
લેસોથોનો	લેસોથોનો	_લેસોથોનો
લેસ્ટર	લેસ્ટર	_લેસ્ટર
લેહ	લેહ	_લેહ
લૈશમેનિયાસિસ	લૈશમેનિયાસિસ	_લૈશમેનિયાસિસ
લૉ	લૉ	_લૉ
લોંકડી	લોંકડી	_લોંકડી
લોંગ	લોંગ	_લોંગ
લોંગેવાલાની	લોંગેવાલાની	_લોંગેવાલાની
લોક	લોક	_લોક
લોકગીત	લોકગીત	_લોકગીત
લોકતંત્રીય	લોકતંત્રીય	_લોકતંત્રીય
લોકનાથ	લોકનાથ	_લોકનાથ
લોકનૃત્ય	લોકનૃત્ય	_લોકનૃત્ય
લોકનૃત્યો	લોકનૃત્ય +(ો)	_લોકનૃત્ય +ો
લોકમાન્ય	લોકમાન્ય	_લોકમાન્ય
લોકલ	લોકલ	_લોકલ
લોકશાહી	લોકશાહી	_લોકશાહી
લોકસભા	લોકસભા	_લોકસભા
લોકસભાના	લોકસભા +(ના)	_લોકસભા +ના
લોકેટર	લોકેટર	_લોકેટર
લોકો	લોક +(ો)	_લોક +ો
લોકોની	લોકોની	_લોકોની
લોખંડ	લોખંડ	_લોખંડ
લોખંડે	લોખંડે	_લોખંડે
લોચો	લોચો	_લોચો
લોજ	લોજ	_લોજ
લોટસ	લોટસ	_લોટસ
લોટેશ્વર	લોટેશ્વર	_લોટેશ્વર
લોટો	લોટો	_લોટો
લોથલ	લોથલ	_લોથલ
લોદી	લોદી	_લોદી
લોનાર	લોનાર	_લોનાર
લોનાવાલા	લોનાવાલા	_લોનાવાલા
લોન્ગતલાઇ	લોન્ગતલાઇ	_લોન્ગતલાઇ
લોન્ગલેન્ગ	લોન્ગલેન્ગ	_લોન્ગલેન્ગ
લોપકચિહ્ન	લોપકચિહ્ન	_લોપકચિહ્ન
લોફ્ટસ	લોફ્ટસ	_લોફ્ટસ
લોબાન	લોબાન	_લોબાન
લોરેન્સીયમ	લોરેન્સીયમ	_લોરેન્સીયમ
